40135,0,236,36,22,15,6,0,0,0,0,0,0,0,0
45905,0,193,35,17,1,0,0,0,0,0,0,0,0,0
44675,0,8,3,4,1,0,0,0,0,0,0,0,0,0
35542,0,214,7,134,1,0,0,0,0,0,0,0,0,0
51829,0,47,2,14,0,0,0,0,0,0,0,0,0,0
11542,0,39,111,79,47,1,0,21,32,0,0,0,2,0
11543,0,531,333,227,3134,3,0,1198,468,0,0,1,0,0
11540,0,585,636,404,66,0,0,0,0,0,0,0,0,0
11541,0,627,968,979,7272,17,8,665,631,0,4,0,2,0
11546,0,28,3,14,0,0,0,0,0,0,0,0,0,0
11547,0,0,3,0,2332,0,0,11,0,0,0,0,0,0
11544,0,842,184,205,98,5,2,0,0,0,0,0,0,0
11545,0,1451,919,309,1455,11,1,97,4,1,0,0,0,0
11548,0,0,3,0,2332,0,0,11,0,0,0,0,0,0
11549,0,43,70,2,5211,1,0,35,0,0,0,1,0,0
5988,0,2450,2420,970,2842,21,10,609,227,0,6,2,0,0
5989,0,180,43,42,0,0,0,0,0,0,0,0,0,0
19399,0,3,33,0,2439,0,0,49,0,0,0,0,0,0
19398,0,484,43,37,15,0,0,0,0,0,0,0,0,0
5982,0,4691,730,1229,1604,10,5,121,4,0,0,0,0,0
5983,0,3821,2017,1991,4783,52,22,2255,1628,1,2,13,8,12
19395,0,716,1618,674,15471,102,12,3587,3071,0,3,104,128,28
19394,0,15265,3385,6961,16283,132,58,2535,2097,0,4,24,30,4
5986,0,1096,263,206,135,1,0,0,0,0,0,0,0,0
19392,0,1114,1459,427,2685,9,0,175,0,0,0,1,0,0
5984,0,934,67,433,128,0,0,22,108,0,0,0,0,0
5985,0,2500,925,464,203,6,1,0,0,0,0,0,0,0
35548,0,13,7,26,0,0,0,0,0,0,0,0,0,0
35549,0,95,117,87,88,1,3,0,0,0,0,0,0,0
58140,0,421,5,25,12,1,0,0,0,0,0,0,0,0
57481,0,85,49,24,0,0,0,0,0,0,0,0,0,0
53901,0,21,33,8,3,0,0,0,0,0,0,0,0,0
16641,0,1772,284,425,248,3,2,0,0,0,0,0,0,0
57483,0,87,61,31,1,0,0,0,0,0,0,0,0,0
33496,0,61,364,66,3318,4,0,463,165,0,0,2,0,0
53903,0,3,1,0,0,0,0,0,0,0,0,0,0,0
57485,0,0,8,152,9,0,0,69,44,0,0,0,0,0
53905,0,94,34,28,3,0,0,0,0,0,0,0,0,0
57487,0,85,203,23,178,0,0,76,0,0,0,0,0,0
46139,0,133,0,13,0,0,0,2,4,0,0,0,0,0
46138,0,8,114,0,3612,2,0,233,0,0,0,0,0,0
46137,0,65,7,12,1,0,0,0,0,0,0,0,0,0
46136,0,44,6,4,0,0,0,0,0,0,0,0,0,0
46135,0,222,20,27,6,0,0,9,0,0,0,0,0,0
46134,0,55,8,34,18,1,0,4,0,0,0,0,0,0
46133,0,44,6,4,0,0,0,0,0,0,0,0,0,0
46132,0,51,6,8,3,0,0,0,0,0,0,0,0,0
46131,0,6,107,0,1503,0,0,274,0,0,0,0,0,0
46130,0,3,51,16,407,0,0,66,0,0,0,0,0,0
57489,0,85,49,23,0,0,0,0,0,0,0,0,0,0
18020,0,1870,840,249,6910,19,2,434,65,0,0,4,2,0
36706,0,86,48,147,0,0,0,0,0,0,0,0,0,0
40139,0,0,0,69,0,0,0,651,390,0,0,0,0,0
29237,0,138,7,59,0,0,0,0,0,0,0,0,0,0
29940,0,135,2,18,0,0,0,0,0,0,0,0,0,0
72703,0,1,22,0,12,0,0,8,0,0,0,0,0,0
270,0,998,1940,709,1156,5,0,579,929,0,0,0,0,0
271,0,974,1584,329,15,0,0,0,0,0,0,0,0,0
19971,0,35,134,165,6238,1,2,96,240,0,0,0,0,0
273,0,11132,5118,4927,15125,144,56,1331,1207,1,13,8,74,8
274,0,408,1498,267,6,0,0,0,0,0,0,0,0,0
275,0,1134,1083,868,2059,10,4,3343,497,0,0,4,0,0
276,0,4723,2618,1131,1922,28,3,0,0,0,0,0,0,0
277,0,25850,8587,6939,58464,448,182,4842,507,3,11,103,20,0
278,0,289,1465,256,1,0,0,0,0,0,0,0,0,0
16704,0,4292,2011,2178,4480,42,20,1310,465,0,3,11,8,4
16707,0,277,12,244,3,0,0,33,75,0,0,0,2,0
16706,0,1014,699,683,1867,37,8,564,110,0,1,15,8,0
80593,0,2,22,0,1,1,0,0,0,0,0,0,0,0
80592,0,1,4,0,6,0,0,2,0,0,0,0,0,0
16703,0,80,148,32,38,12,2,34,10,0,4,8,2,0
16702,0,558,704,53,5361,11,0,570,12,0,0,3,0,0
42087,0,66,0,6,0,0,0,0,0,0,0,0,0,0
12019,0,803,147,135,68,0,0,23,8,0,0,0,0,0
12018,0,42,4,4,0,0,0,0,0,0,0,0,0,0
16644,0,255,190,55,7474,5,0,415,0,0,0,3,0,0
42086,0,80,4,43,1,0,0,0,0,0,0,0,0,0
12015,0,60,1,5,0,0,0,0,0,0,0,0,0,0
12014,0,60,1,5,0,0,0,0,0,0,0,0,0,0
12017,0,170,3,12,1,0,0,0,0,0,0,0,0,0
12016,0,480,4,53,14,1,0,0,0,0,0,0,0,0
12011,0,1148,146,327,27,0,1,0,0,0,0,0,0,0
12010,0,2440,1296,1559,8574,15,19,1282,486,0,1,4,6,0
12013,0,253,375,117,10,0,0,0,0,0,0,0,0,0
12012,0,3358,1030,737,394,10,2,0,0,0,0,0,0,0
17258,0,400,497,203,2337,6,0,671,1100,0,0,0,6,0
17259,0,235,291,15,2881,0,0,140,0,0,0,1,0,0
64676,0,3,31,0,348,0,0,242,0,0,0,0,0,0
64677,0,36,103,0,520,0,0,30,0,0,0,0,0,0
64670,0,6,13,0,2880,0,0,18,0,0,0,0,0,0
64671,0,1,8,0,187,0,0,9,0,0,0,0,0,0
64672,0,12,10,0,187,0,0,9,0,0,0,0,0,0
64673,0,3,11,0,194,0,0,9,0,0,0,0,0,0
52460,0,20,0,0,0,0,0,0,0,0,0,0,0,0
17251,0,161,82,190,3506,4,2,1028,529,0,1,0,0,0
17252,0,1,5,45,2536,0,0,123,297,0,0,0,0,0
52463,0,20,1,0,2,1,0,0,0,0,0,0,0,0
17254,0,235,30,207,344,2,0,187,606,0,0,0,16,4
17255,0,0,23,0,2917,0,0,33,0,0,0,2,0,0
17256,0,377,694,70,16003,24,0,650,16,0,0,5,0,0
17257,0,4082,744,690,1420,9,2,0,0,0,0,0,0,0
63024,0,36,28,24,74,0,0,74,3,0,0,0,0,0
63025,0,0,12,2,32,1,0,14,0,0,2,0,0,0
10709,0,1521,568,396,76,1,1,0,0,0,0,0,0,0
10708,0,1322,546,345,266,6,0,34,0,0,0,0,0,0
63020,0,3,4,44,0,0,2,8,13,0,0,1,6,0
63021,0,1,1,6,0,0,0,0,0,0,0,0,0,0
9258,0,181,2,31,0,0,0,0,0,0,0,0,0,0
9259,0,370,135,179,19,1,1,0,0,0,0,0,0,0
53733,0,313,20,32,3,0,0,0,0,0,0,0,0,0
9257,0,846,75,106,13,1,1,0,0,0,0,0,0,0
53731,0,57,14,11,0,0,0,0,0,0,0,0,0,0
9255,0,1178,184,213,113,0,2,85,4,0,0,1,0,0
10707,0,1932,84,284,226,1,1,40,4,0,0,0,0,0
9253,0,88,101,330,511,1,4,52,53,0,0,0,0,4
10705,0,1758,262,488,152,1,0,0,0,0,0,0,0,0
