169,140,1
159,137,1
117,132,1
67,149,1
96,65,1
176,69,3
126,207,2
54,162,2
29,201,1
49,136,1
34,149,1
137,208,1
100,179,2
86,18,1
88,170,1
184,105,1
132,170,1
112,117,2
92,178,1
86,160,1
102,142,1
149,200,1
202,63,2
160,157,2
60,45,1
160,2,2
142,183,1
54,162,2
126,85,4
200,214,1
197,73,1
160,169,1
159,49,1
194,167,2
118,92,1
176,183,1
206,159,1
194,167,2
197,208,2
49,212,1
159,12,1
117,49,1
55,200,1
1,162,1
100,214,2
55,149,2
169,49,2
85,183,2
194,24,1
85,207,1
69,200,1
176,115,1
176,100,2
179,26,1
85,125,1
123,179,1
55,214,1
77,192,1
124,136,1
45,60,1
55,149,2
26,69,2
85,126,1
184,169,2
49,117,1
49,112,1
151,157,1
67,85,2
159,105,1
126,55,2
60,77,1
92,200,1
206,208,2
126,123,2
190,96,1
176,85,2
176,110,2
100,200,2
184,169,2
26,102,1
125,55,2
118,197,1
208,184,1
140,169,2
191,78,1
85,63,1
143,160,1
207,102,1
176,207,2
142,77,1
149,163,1
126,84,2
60,176,4
105,208,1
209,167,1
18,78,1
156,110,1
100,149,2
85,149,4
100,34,1
55,84,1
137,157,1
54,1,1
212,160,1
60,149,3
102,26,1
55,60,1
126,85,4
126,69,3
173,77,1
143,212,1
29,24,1
149,69,4
123,100,1
88,194,2
202,60,1
161,2,1
126,69,3
184,137,2
39,194,1
149,84,2
160,184,1
60,212,1
142,45,1
212,111,1
149,183,1
105,169,1
105,209,2
88,24,1
200,60,1
183,26,1
114,128,1
-1,-1
