Irbisgreif,0,596,1315,0,4772,167,0,396,0,0,0,32,0,0
Someoneanother,0,9,242,0,604,0,0,89,0,0,0,1,0,0
Mkamensek,0,0,1,0,66,0,0,2,0,0,0,0,0,0
CanadianMonkey,0,1,368,0,300,0,0,68,0,0,0,0,0,0
Dcheagle,0,0,21,0,181,0,0,6,0,0,0,0,0,0
Avocado,0,0,101,0,48,0,0,8,0,0,0,0,0,0
Hemmingsen,0,113,343,0,1670,7,0,114,0,0,0,0,0,0
ZachInOhio,0,0,31,0,129,0,0,17,0,0,0,0,0,0
Nanobear,0,1,143,0,428,0,0,70,0,0,0,0,0,0
Ganfon,0,4914,3939,87,8049,518,1,573,0,4,6,55,0,0
DarkFalls,0,22163,17840,7102,17569,3466,748,4492,863,95,268,600,372,136
Skoppensboer,0,0,64,0,83,0,0,8,0,0,0,0,0,0
Government07,0,0,11,0,167,0,0,14,0,0,0,0,0,0
Lobojo,0,0,450,0,278,0,0,73,0,0,0,0,0,0
Kommondant,0,0,130,0,181,0,0,42,0,0,0,0,0,0
Pattav2,0,206,538,119,0,2,1,0,0,0,0,0,0,0
TheHoosierState89,0,1,66,0,118,0,0,16,0,0,0,0,0,0
PrivateButcher,0,12271,5741,1779,6342,1389,344,1298,178,17,41,260,150,28
Buffadren,0,0,4,0,63,0,0,0,0,0,0,0,0,0
Bakasuprman,0,615,2874,0,4245,141,0,686,0,0,0,29,0,0
No31328,0,0,7,0,105,0,0,10,0,0,0,0,0,0
Ks0stm,0,9412,6148,1534,6422,1104,98,1623,178,40,65,278,76,4
JoeDecker,0,11348,10179,2797,11551,2683,338,3095,385,73,176,553,252,48
Seeeko,0,0,0,0,212,0,0,7,0,0,0,0,0,0
CurtWilhelmVonSavage,0,512,1686,0,2092,111,0,255,0,0,0,10,0,0
RL0919,0,10250,4394,1904,3973,661,68,1596,249,5,31,225,58,12
Rewtguy,0,0,12,0,479,0,0,11,0,0,0,0,0,0
HavelocktheDane,0,1,99,0,307,0,0,93,0,0,0,0,0,0
JP06035,0,7221,1645,971,715,150,32,15,0,0,0,0,0,0
Seddon69,0,20,138,0,747,1,0,46,0,0,0,0,0,0
Chrishmt0423,0,0,17,0,192,0,0,12,0,0,0,2,0,0
Eagle101,0,10191,6540,2490,5819,984,131,2072,293,23,58,277,88,0
SpiderJon,0,0,224,0,121,0,0,42,0,0,0,0,0,0
