Minesweeper.007 -1.0,[ 0.60314722  0.39685278]
DarknessLord -1.0,[ 0.51423064  0.48576936]
Trillio -1.0,[ 0.59850861  0.40149139]
Sn0wflake 1.0,[ 0.49160682  0.50839318]
Mifter 1.0,[ 0.49225484  0.50774516]
Manadude2 -1.0,[ 0.59557167  0.40442833]
Grmwnr 1.0,[ 0.49290792  0.50709208]
Psyguy 1.0,[ 0.49077243  0.50922757]
Ganfon -1.0,[ 0.50295902  0.49704098]
Soap 1.0,[ 0.50844064  0.49155936]
Jayanthv86 -1.0,[ 0.51825598  0.48174402]
Pattav2 -1.0,[ 0.68979843  0.31020157]
DanielJ.Leivick 1.0,[ 0.50103537  0.49896463]
PrivateButcher -1.0,[ 0.49550389  0.50449611]
Citicat 1.0,[ 0.50003406  0.49996594]
MMAfan2007 -1.0,[ 0.60046878  0.39953122]
Ks0stm 1.0,[ 0.50453214  0.49546786]
Sherool 1.0,[ 0.50306069  0.49693931]
JoeDecker 1.0,[ 0.49782969  0.50217031]
Satellizer -1.0,[ 0.51618127  0.48381873]
Ctjf83 -1.0,[ 0.50846977  0.49153023]
RL0919 1.0,[ 0.49282578  0.50717422]
Malinaccier 1.0,[ 0.49691671  0.50308329]
Maltesedog -1.0,[ 0.49794967  0.50205033]
Lazylaces -1.0,[ 0.51107755  0.48892245]
SilkTork -1.0,[ 0.49818249  0.50181751]
Eagle101 1.0,[ 0.48923797  0.51076203]
Nousernamesleft 1.0,[ 0.49276086  0.50723914]
Tv316 -1.0,[ 0.50121131  0.49878869]
KuatofKDY -1.0,[ 0.59964397  0.40035603]
Netoholic -1.0,[ 0.50204419  0.49795581]
Misterrick -1.0,[ 0.49912736  0.50087264]
Dylan620 -1.0,[ 0.50916402  0.49083598]
CrypticC62 -1.0,[ 0.50185252  0.49814748]
Banes 1.0,[ 0.49018393  0.50981607]
Carcharoth 1.0,[ 0.49979676  0.50020324]
GangstaEB -1.0,[ 0.51155565  0.48844435]
Oldelpaso 1.0,[ 0.49690465  0.50309535]
Gb 1.0,[ 0.49618516  0.50381484]
JHunterJ 1.0,[ 0.49676978  0.50323022]
Schuminweb -1.0,[ 0.49830767  0.50169233]
Leithp 1.0,[ 0.49094248  0.50905752]
Czarbender -1.0,[ 0.59687646  0.40312354]
MastCell 1.0,[ 0.49028087  0.50971913]
Rhymeless 1.0,[ 0.49612879  0.50387121]
Whouk 1.0,[ 0.49505075  0.50494925]
Admrboltz 1.0,[ 0.4951609  0.5048391]
Hghyux -1.0,[ 0.51339329  0.48660671]
Torchwoodwho -1.0,[ 0.52373119  0.47626881]
SonofaPeachII -1.0,[ 0.60363684  0.39636316]
Alex43223 -1.0,[ 0.49625242  0.50374758]
Bluemoose 1.0,[ 0.49181475  0.50818525]
LinguistAtLarge 1.0,[ 0.49812874  0.50187126]
Herbythyme 1.0,[ 0.49773391  0.50226609]
Sephirothstorm -1.0,[ 0.50113062  0.49886938]
Josephtheboheme -1.0,[ 0.59728167  0.40271833]
BlackBear -1.0,[ 0.59476822  0.40523178]
Ferkelparade 1.0,[ 0.49557004  0.50442996]
Caldorwards4 -1.0,[ 0.50851739  0.49148261]
Barek 1.0,[ 0.49685691  0.50314309]
Closedmouth 1.0,[ 0.49851333  0.50148667]
mbralchenko -1.0,[ 0.50172352  0.49827648]
Random832 1.0,[ 0.49762932  0.50237068]
WinEuro -1.0,[ 0.68542  0.31458]
OdMishehu 1.0,[ 0.50250295  0.49749705]
MER-C -1.0,[ 0.50421012  0.49578988]
Susvolans -1.0,[ 0.49737031  0.50262969]
Codelyoko193 -1.0,[ 0.50775514  0.49224486]
Zzyzx11 -1.0,[ 0.48473987  0.51526013]
CosmicLatte -1.0,[ 0.49886618  0.50113382]
Marcschulz -1.0,[ 0.51559878  0.48440122]
Andrevan 1.0,[ 0.49155368  0.50844632]
Necrothesp 1.0,[ 0.49750113  0.50249887]
Juliancolton -1.0,[ 0.50738843  0.49261157]
Abecedare 1.0,[ 0.4929413  0.5070587]
Aude 1.0,[ 0.49462679  0.50537321]
NSLE 1.0,[ 0.48586193  0.51413807]
RandomStringOfCharacters -1.0,[ 0.49385851  0.50614149]
bobrulz -1.0,[ 0.50339771  0.49660229]
Eequor -1.0,[ 0.50399581  0.49600419]
Harish89 -1.0,[ 0.50769852  0.49230148]
Mulad 1.0,[ 0.50384721  0.49615279]
OlafDavis 1.0,[ 0.49386779  0.50613221]
TheNewPhobia -1.0,[ 0.60788525  0.39211475]
BlakeCS -1.0,[ 0.60107749  0.39892251]
Davidruben 1.0,[ 0.49396506  0.50603494]
Gonzofan2007 1.0,[ 0.49513751  0.50486249]
Caribbean1 -1.0,[ 0.5968999  0.4031001]
Imaglang -1.0,[ 0.51160179  0.48839821]
Triwbe -1.0,[ 0.50484145  0.49515855]
east718 1.0,[ 0.49202079  0.50797921]
Neranei -1.0,[ 0.49763074  0.50236926]
Ruhrfisch 1.0,[ 0.49873579  0.50126421]
Alexsautographs -1.0,[ 0.60392394  0.39607606]
RegentsPark 1.0,[ 0.49300129  0.50699871]
RelentlessRouge -1.0,[ 0.60193133  0.39806867]
Dabomb87 1.0,[ 0.41326117  0.58673883]
WilfriedDerksen 1.0,[ 0.50148582  0.49851418]
Sony-youth -1.0,[ 0.49834999  0.50165001]
Theleftorium -1.0,[ 0.49830507  0.50169493]
Laurascudder 1.0,[ 0.48973379  0.51026621]
JaGa 1.0,[ 0.49799295  0.50200705]
Markalexander100 1.0,[ 0.49596204  0.50403796]
GeeJo 1.0,[ 0.49859524  0.50140476]
Falcon8765 -1.0,[ 0.50325336  0.49674664]
Dpmuk 1.0,[ 0.49652645  0.50347355]
AKMask -1.0,[ 0.49447319  0.50552681]
Rama 1.0,[ 0.48969637  0.51030363]
Tyrol5 1.0,[ 0.49678964  0.50321036]
Hiberniantears -1.0,[ 0.49798666  0.50201334]
Gabbe 1.0,[ 0.50014926  0.49985074]
Melchoir 1.0,[ 0.49487529  0.50512471]
WilhelminaWill -1.0,[ 0.50711242  0.49288758]
Irongargoyle 1.0,[ 0.49545002  0.50454998]
EdJohnston 1.0,[ 0.4980488  0.5019512]
Slambo 1.0,[ 0.48925879  0.51074121]
ACoolEditor -1.0,[ 0.50340726  0.49659274]
Lid 1.0,[ 0.49743278  0.50256722]
SteveBaker -1.0,[ 0.50001168  0.49998832]
4836.03 -1.0,[ 0.50915129  0.49084871]
Drmies 1.0,[ 0.41967204  0.58032796]
Vikreykja -1.0,[ 0.50704729  0.49295271]
Kpjas 1.0,[ 0.49540427  0.50459573]
Moriori 1.0,[ 0.50080567  0.49919433]
Jerry 1.0,[ 0.50422576  0.49577424]
Metros232 1.0,[ 0.49308278  0.50691722]
Certified.Gangsta -1.0,[ 0.51298114  0.48701886]
TehBrandon -1.0,[ 0.50659106  0.49340894]
Jacoplane 1.0,[ 0.49316184  0.50683816]
K1Bond007 1.0,[ 0.49507624  0.50492376]
Taymaishu -1.0,[ 0.51703191  0.48296809]
2over0 1.0,[ 0.49641489  0.50358511]
Jmabel 1.0,[ 0.4911441  0.5088559]
Rigadoun 1.0,[ 0.49375424  0.50624576]
Adashiel 1.0,[ 0.49679563  0.50320437]
KingÓðinnTheAesir -1.0,[ 0.59915239  0.40084761]
Mattbr 1.0,[ 0.49548166  0.50451834]
Cantthinkofagoodname 1.0,[ 0.49403045  0.50596955]
GregRobson 1.0,[ 0.49699874  0.50300126]
NickDowling 1.0,[ 0.49659324  0.50340676]
Martyman 1.0,[ 0.49817467  0.50182533]
eggwo -1.0,[ 0.60819085  0.39180915]
Darwinek -1.0,[ 0.49503738  0.50496262]
PhilipGronowski -1.0,[ 0.49927816  0.50072184]
Parsecboy 1.0,[ 0.49411769  0.50588231]
Denelson83 -1.0,[ 0.49707775  0.50292225]
FCYTravis 1.0,[ 0.49290284  0.50709716]
Athaenara 1.0,[ 0.49228368  0.50771632]
Deathphoenix 1.0,[ 0.49673927  0.50326073]
Cryptic 1.0,[ 0.48934401  0.51065599]
Pedant -1.0,[ 0.49772999  0.50227001]
MichaelGreiner 1.0,[ 0.50456091  0.49543909]
SalsaShark 1.0,[ 0.49601829  0.50398171]
Whiteandnerdy111 -1.0,[ 0.60417474  0.39582526]
crownofworms -1.0,[ 0.60709142  0.39290858]
Nilfanion 1.0,[ 0.50214272  0.49785728]
Kyriakos -1.0,[ 0.49716876  0.50283124]
CJMiller -1.0,[ 0.59420074  0.40579926]
Bigtop -1.0,[ 0.50764886  0.49235114]
Ali -1.0,[ 0.50376983  0.49623017]
Ramsquire -1.0,[ 0.50912662  0.49087338]
Steel359 1.0,[ 0.49140327  0.50859673]
SCZenz 1.0,[ 0.49944833  0.50055167]
RasputinAXP 1.0,[ 0.49591112  0.50408888]
Crystallina -1.0,[ 0.50720511  0.49279489]
MyNameIsKyle -1.0,[ 0.51107968  0.48892032]
Shark96z -1.0,[ 0.50907567  0.49092433]
