PSD95,0,157,226,0,82,7,0,0,0,2,0,0,0,0
GAIP,0,0,1,0,10,0,0,0,0,0,0,0,0,0
ABP1,0,1,0,0,13,0,0,0,0,0,0,0,0,0
ARIP2,0,0,3,0,1,0,0,0,0,0,0,0,0,0
CALRETICULIN,0,18,9,0,7,0,0,0,0,0,0,0,0,0
GLYT1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SAPAP,0,0,0,0,2,0,0,0,0,0,0,0,0,0
COFILIN,0,24,29,0,13,0,0,0,0,0,0,0,0,0
ANKYRIN,0,11,15,0,17,0,0,0,0,0,0,0,0,0
RYR,0,67,40,0,27,1,0,0,0,2,0,0,0,0
EEF2K,0,38,9,0,3,0,0,0,0,0,0,0,0,0
TAU,0,100,37,0,56,2,0,0,0,0,0,0,0,0
MNK1,0,26,18,0,6,1,0,0,0,0,0,0,0,0
DYNEIN,0,0,5,0,13,0,0,0,0,0,0,0,0,0
POTASSIUM,0,1,15,0,21,0,0,0,0,0,0,0,0,0
GABARAP,0,6,18,0,2,1,0,0,0,0,0,0,0,0
SYNTAXIN,0,62,124,0,54,14,0,0,0,0,0,0,0,0
SV2A,0,17,13,0,3,1,0,0,0,0,0,0,0,0
ADPRIBSYCYCLASE,0,4,3,0,0,0,0,0,0,0,0,0,0,0
IGF1R,0,7,19,0,29,0,0,0,0,0,0,0,0,0
KV42,0,81,22,0,12,0,0,0,0,0,0,0,0,0
NWASP,0,27,36,0,5,1,0,0,0,0,0,0,0,0
PSD93,0,28,29,0,5,1,0,0,0,0,0,0,0,0
CAMKI,0,13,16,0,23,1,0,0,0,0,0,0,0,0
CAMKK,0,80,22,0,11,1,0,0,0,0,0,0,0,0
IKBA,0,0,1,0,2,0,0,0,0,0,0,0,0,0
S40,0,4,13,0,11,2,0,0,0,0,0,0,0,0
JIP,0,34,27,0,17,2,0,0,0,0,0,0,0,0
COMPLEXIN,0,0,11,0,14,1,0,0,0,0,0,0,0,0
DREAM,0,24,25,0,16,1,0,0,0,0,0,0,0,0
SNAP25,0,53,46,0,24,10,0,0,0,0,0,0,0,0
SHANK,0,3,12,0,5,0,0,0,0,0,0,0,0,0
GRB10,0,5,8,0,12,0,0,0,0,0,0,0,0,0
RICS,0,19,7,0,0,0,0,0,0,0,0,0,0,0
CAMKIV,0,62,35,0,34,8,0,0,0,0,0,0,0,0
CAMKII,0,228,197,0,98,18,0,0,0,2,0,0,0,0
PTEN,0,1,13,0,3,0,0,0,0,0,0,0,0,0
JNK,0,16,30,0,18,2,0,0,0,0,0,0,0,0
RASGRP3,0,38,17,0,19,0,0,0,0,0,0,0,0,0
SYNTENIN,0,7,17,0,18,0,0,0,0,0,0,0,0,0
