PSD95,68.125,72.7125118188
GAIP,60.5555555556,77.2788761005
ABP1,77.8571428571,82.8206816328
ARIP2,60.5555555556,75.5279361283
CALRETICULIN,68.125,79.5038324548
GLYT1,60.5555555556,74.4373130913
SAPAP,60.5555555556,74.4373130913
COFILIN,68.125,82.7714284944
ANKYRIN,68.125,79.8474130764
RYR,77.8571428571,78.1489942745
EEF2K,68.125,80.3608074561
TAU,77.8571428571,77.8724755545
MNK1,77.8571428571,78.8550724366
DYNEIN,68.125,85.3704244748
POTASSIUM,68.125,80.3732503698
GABARAP,68.125,81.8297584929
SYNTAXIN,68.125,72.4800619136
SV2A,68.125,79.4865358095
ADPRIBSYCYCLASE,68.125,81.4607842769
IGF1R,68.125,70.1042750123
KV42,68.125,74.1745197153
NWASP,68.125,80.9759802349
PSD93,68.125,81.1178733387
CAMKI,77.8571428571,79.1299628485
CAMKK,77.8571428571,77.4825852718
IKBA,60.5555555556,75.4425625686
S40,68.125,82.8061554173
JIP,68.125,74.1863152812
COMPLEXIN,60.5555555556,73.2228123396
DREAM,68.125,80.0225554141
SNAP25,68.125,81.0176485403
SHANK,68.125,78.0167249697
GRB10,60.5555555556,70.6369609122
RICS,68.125,82.5900077189
CAMKIV,77.8571428571,82.3588464698
CAMKII,77.8571428571,83.9360786916
PTEN,68.125,82.7064651342
JNK,68.125,65.5790315192
RASGRP3,68.125,79.4204594232
SYNTENIN,60.5555555556,76.230806125
CRIPT,68.125,80.2658668115
GAP43,68.125,82.2989026355
SSCAM,68.125,75.6198345343
ENKEPHALIN,60.5555555556,65.9580862048
M2R,68.125,65.4492885752
MST3,68.125,76.6492620643
ADDUCIN,68.125,78.5357203761
NFM,68.125,82.4415512651
NFH,77.8571428571,78.0154354168
mRNA,68.125,84.060153313
PKCE,68.125,79.9021862967
ANANDAMIDE,60.5555555556,65.9597707548
HCK,77.8571428571,83.0463357262
COOL,68.125,76.5954265932
MERLIN,54.5,74.5603782179
tRNA,54.5,72.1917585324
NOPR,68.125,66.397359699
CBL,77.8571428571,77.613379869
PERK,54.5,72.1917585324
CBP,77.8571428571,72.9607107019
GIT1,60.5555555556,75.3143207735
NASCENTCHAIN,60.5555555556,75.6528784957
NOS,77.8571428571,76.8420059443
DOK,68.125,80.2752102146
RALBP1,68.125,76.83006817
S6,60.5555555556,69.4103916509
RET,68.125,73.436090412
XIAP,68.125,77.9413842256
EPAC,60.5555555556,75.8215904624
NEUREXIN,60.5555555556,70.3232395776
ADAPTIN,77.8571428571,83.0274112592
FILAMIN,68.125,78.0999959987
Potassium,54.5,70.1615991836
PHAS,68.125,84.1359576816
PHAP,54.5,77.7537780433
CaMKI,60.5555555556,79.7400096301
MARCKS,68.125,76.1387508106
EFA6,60.5555555556,85.6350280241
DOC2,68.125,79.8771517707
PI3K,68.125,73.0195821338
GELSOLIN,77.8571428571,85.7195236495
BETAARRESTIN,68.125,76.8837393406
EIF5,54.5,72.1917585324
PP2C,68.125,78.1415982368
DOPAMINE,60.5555555556,73.9445905333
LEF1,60.5555555556,76.52321523
APOLLON,60.5555555556,80.9308499222
KIR21,68.125,79.6342223859
EPHRIN,60.5555555556,78.6583485872
SS,60.5555555556,67.9871084367
