74700,0,8,1,0
684986,0,42,1,2
262108,0,4,0,0
23448,0,112,2,1
131117,0,9,4,2
144330,0,36,3,0
1959,0,31,42,3
193354,0,7,2,4
193352,0,4,9,6
1121867,0,31,9,1
1105505,0,8,1,0
103543,0,8,8,2
1104055,0,45,6,0
469504,0,19,3,0
35852,0,11,6,0
6151,0,162,40,15
6152,0,15,2,1
189572,0,20,5,1
6155,0,177,7,8
189571,0,39,16,5
287787,0,172,52,14
289780,0,166,9,12
289781,0,170,6,9
1106287,0,107,4,2
158098,0,18,3,0
69392,0,123,5,1
1132434,0,12,1,0
69397,0,31,3,0
65650,0,62,29,7
65653,0,73,21,0
60682,0,7,1,0
100701,0,1,0,0
1102442,0,13,1,0
689439,0,6,2,1
853114,0,31,1,5
853115,0,31,1,5
853116,0,31,1,5
52003,0,2,4,2
52000,0,2,1,2
853118,0,4,1,0
52007,0,2,0,1
1129015,0,6,2,1
100961,0,19,1,2
1129018,0,173,1,0
1132505,0,5,2,1
43698,0,23,2,8
85324,0,7,1,0
1113438,0,190,8,2
166825,0,3,1,0
258259,0,1,0,0
63931,0,41,16,5
93320,0,55,3,0
990075,0,2,0,0
2440,0,77,451,14
644494,0,5,4,2
1130568,0,8,0,0
1109392,0,72,2,1
1130567,0,116,5,5
1106630,0,19,10,0
1117184,0,22,5,1
93923,0,42,3,3
294145,0,0,0,0
102939,0,2,0,1
102938,0,2,1,2
16819,0,35,83,8
1107728,0,0,0,0
132821,0,2,0,0
117328,0,14,6,0
1117219,0,13,0,1
139738,0,4,0,0
753047,0,2,11,4
79817,0,21,2,1
646412,0,0,0,0
6378,0,52,14,1
787016,0,169,2,4
1109957,0,91,2,1
300071,0,20,9,1
1131360,0,185,5,1
87363,0,31,3,3
1116922,0,2,1,0
20526,0,92,11,4
20528,0,26,15,0
1138755,0,5,0,0
54550,0,15,1,0
22874,0,8,2,1
22875,0,10,3,0
22876,0,8,6,0
293285,0,32,1,0
197452,0,40,6,0
561581,0,13,8,2
1153275,0,11,1,0
219239,0,50,9,1
1121254,0,31,3,0
1131565,0,6,1,0
152731,0,10,2,1
509315,0,3,1,0
1117501,0,11,1,0
179180,0,4,2,1
1131189,0,1,0,0
1129907,0,8,0,1
1131184,0,0,0,1
49482,0,173,17,4
1131180,0,13,0,0
48781,0,4,3,3
294030,0,41,9,1
711598,0,20,0,0
1131748,0,137,1,0
1131745,0,80,0,1
104840,0,56,5,1
1131741,0,1,0,1
1130586,0,8,0,0
594511,0,3,1,0
645452,0,4,0,0
1997,0,35,42,3
1999,0,18,10,0
1114184,0,2,0,0
634975,0,172,1,5
1129835,0,7,2,4
45061,0,4,0,0
1128839,0,168,3,0
237521,0,102,1,0
31489,0,10,55,11
8832,0,19,1,0
67584,0,4,2,1
202639,0,60,55,0
395725,0,40,14,1
1130808,0,60,1,2
58454,0,9,3,0
58453,0,7,0,0
1113084,0,0,0,0
643734,0,1,3,0
12946,0,82,1,0
17821,0,0,0,0
948846,0,73,0,0
592996,0,6,1,0
575292,0,177,9,1
399370,0,13,3,3
5454,0,7,3,0
137956,0,7,2,1
16474,0,17,6,0
137868,0,18,20,1
399173,0,15,0,0
1107010,0,20,4,2
23507,0,87,33,3
340299,0,82,3,0
23502,0,144,6,4
1115166,0,3,0,0
1110531,0,13,3,0
1135455,0,1,0,0
194645,0,7,1,0
1152821,0,73,0,0
151708,0,39,1,0
189577,0,85,6,0
189574,0,17,1,0
1127566,0,4,0,1
83725,0,44,8,7
1114364,0,3,0,0
8766,0,2,0,1
1123093,0,3,0,0
1113934,0,43,10,0
