719627	719627	1
201619	204603	1
102137	100634	1
706345	706340	1
200715	200303	1
25114	100647	1
201386	203849	1
102101	102100	1
717563	717563	1
205593	205594	1
206050	202095	1
513	513	1
207196	204152	1
206512	200112	1
200379	208749	1
101200	26517	1
719007	719046	1
705209	705214	1
204174	206522	1
206794	206875	1
101750	101749	1
200358	207313	1
721714	721709	1
13	13	1
201936	205574	1
716289	716155	1
201949	205589	1
200373	207614	1
100426	101333	1
722486	722434	1
100382	100133	1
204406	204408	1
709716	709708	1
723587	723587	1
101508	101508	1
101503	102289	1
707692	707679	1
716143	716144	1
100203	101348	1
206582	206584	1
705484	705497	1
716160	716198	1
201796	201794	1
200381	202991	1
100739	27556	1
200776	200524	1
202091	207260	1
205072	201430	1
703947	703956	1
203703	200794	1
700112	700116	1
207612	204241	1
201609	204611	1
29620	100928	1
204027	204042	1
102046	102047	1
204572	204603	1
700261	700251	1
710466	710490	1
206310	206312	1
200825	200824	1
200451	200181	1
201865	201867	1
201206	207868	1
200035	200529	1
101710	28029	1
205612	201960	1
720863	720843	1
202453	207476	1
102130	102134	1
100107	100700	1
100440	100440	1
200393	200312	1
724195	724195	1
200348	202908	1
701245	701248	1
201540	201539	1
202411	208083	1
200622	203350	1
200608	200608	1
200243	200243	1
200599	200598	1
100737	100179	1
203048	202973	1
717918	717885	1
201664	201663	1
101358	101364	1
707097	707096	1
6440	100868	1
207646	200731	1
208020	208026	1
703833	703889	1
100699	74	1
701276	701275	1
202332	206797	1
712040	712038	1
721103	721103	1
100265	102394	1
101051	101050	1
202757	200618	1
709698	709721	1
100299	100655	1
201541	208098	1
207825	200658	1
700659	700671	1
708432	708414	1
100636	28131	1
26717	28238	1
101646	101647	1
100191	100191	1
26607	102207	1
207064	202370	1
715141	715141	1
711896	711952	1
201302	207440	1
704378	704393	1
100130	100558	1
100172	100812	1
201430	201432	1
204548	204549	1
101737	101738	1
203913	204843	1
203289	200489	1
200448	200449	1
200531	200528	1
101816	100230	1
208193	202766	1
100403	100411	1
201717	208369	1
26716	101977	1
200530	200468	1
200785	200811	1
101469	26785	1
25115	60	1
208211	200651	1
201047	202618	1
200565	206314	1
100488	101647	1
200549	200464	1
208050	204408	1
207593	207580	1
101533	101688	1
101123	102256	1
200444	204133	1
204386	205462	1
100724	101350	1
202164	200325	1
206768	201612	1
101915	101914	1
206251	202167	1
201945	201947	1
721093	721083	1
100632	100606	1
700094	700110	1
201668	201445	1
100369	101373	1
715326	715307	1
100192	100426	1
207298	200452	1
27509	101006	1
202252	206637	1
708083	708081	1
200788	204331	1
202762	208169	1
200609	203331	1
704184	704231	1
202646	202642	1
102382	102382	1
722760	722704	1
27546	101305	1
100304	100560	1
707771	707662	1
