PAC1,30.9230769231,34.0957597559
SUMO1,28.2426470588,35.4541407137
SUMO3,28.3088235294,35.6562910824
SUMO2,28.3088235294,35.6562910824
PSD93,1.0,0.0
ARIP2,31.1868131868,34.5650916696
CALRETICULIN,1.0,0.0
HIPK2,2.5,1.41421356237
GLYT1,26.8571428571,38.6929958648
SAPAP,1.0,0.0
COFILIN,30.1318681319,36.9722429068
ANKYRIN,25.978021978,36.589518983
RYR,25.8076923077,38.3532556926
SRP54,1.33333333333,0.471404520791
EEF2K,1.0,0.0
TAU,31.8846153846,40.4780461759
MNK1,1.0,0.0
DYNEIN,31.9743589744,40.6614579998
POTASSIUM,1.0,0.0
GABARAP,1.0,0.0
SYNTAXIN,25.3846153846,36.1538461538
DMPK,25.956043956,36.5053291076
SV2A,25.7142857143,35.4207940772
ADPRIBSYCYCLASE,26.1428571429,37.0317018077
PSD95,25.0128205128,34.9424129422
TWA1,2.5,1.41421356237
IGF1R,34.8787878788,41.1136300819
GAIP,26.4952380952,37.679434655
KV43,1.0,0.0
KV42,1.0,0.0
NWASP,29.0549450549,29.5118068841
MYPT2,1.0,0.0
MYPT1,1.0,0.0
CAMKI,26.2747252747,35.5725776972
CAMKK,26.3846153846,33.1364401926
IKBA,28.4485294118,35.7244226685
S40,3.8,1.47901994577
JIP,32.303030303,34.1067841825
COMPLEXIN,25.5619047619,35.5531364327
SRCASM,28.8974358974,39.1020743979
VAV,26.8846153846,41.2650645893
SNAP25,26.0659340659,36.9951220197
SPECTRIN,1.0,0.0
SHANK,25.8791208791,40.4401815528
GRB10,35.1818181818,42.5108639493
RICS,1.0,0.0
CAMKIV,25.7252747253,34.9926450429
CAMKII,23.0641025641,35.0305422294
PTEN,37.3818181818,40.0529649339
JNK,27.9871794872,29.8128421248
RASGRP3,32.858974359,41.062621554
TSC,26.1523809524,35.198272221
SYNTENIN,31.9358974359,37.6139010946
CRIPT,31.8846153846,40.4780461759
H2O2,28.1758241758,37.1679380825
GAP43,30.696969697,37.477265836
SSCAM,1.0,0.0
ENKEPHALIN,34.6282051282,41.3108137578
M2R,35.1212121212,41.830432988
MST3,1.0,0.0
RASGAP,31.1282051282,34.9257148181
CMYC,1.0,0.0
ADDUCIN,1.0,0.0
NFM,1.0,0.0
NFH,1.0,0.0
mRNA,1.0,0.0
PKCE,30.2087912088,37.1604548988
ANANDAMIDE,34.641025641,41.3973798151
HCK,25.9010989011,38.2458567969
COOL,26.8974358974,41.3800139627
MERLIN,1.0,0.0
tRNA,1.0,0.0
NOPR,35.2121212121,42.2340976968
CBL,29.2424242424,39.8872377527
PERK,1.0,0.0
CBP,29.9238095238,37.2183299146
GIT1,27.1758241758,40.5611526043
NASCENTCHAIN,1.0,0.0
NOS,30.1166666667,33.3695802924
DOK,27.9340659341,33.6249766283
RALBP1,31.5769230769,34.9900779587
S6,3.46666666667,1.6
RET,30.1153846154,36.4161899282
XIAP,29.141025641,35.5577581783
EPAC,28.6571428571,37.0239856067
NEUREXIN,1.0,0.0
ADAPTIN,30.6025641026,35.9405373113
FILAMIN,1.0,0.0
KIR41,1.0,0.0
PHAS,1.0,0.0
PHAP,28.6761904762,34.4801776831
RIM,41.3636363636,38.1973821092
MUPP1,32.1648351648,40.2456951279
NEUROGRANIN,30.696969697,37.477265836
EFA6,1.0,0.0
EIF2,1.0,0.0
FRA1,28.3676470588,35.7438259529
CPI17,1.0,0.0
PI3K,35.4,43.213886657
KChIP4,1.0,0.0
GELSOLIN,26.956043956,33.7346063952
BETAARRESTIN,25.3205128205,39.1928104235
EIF5,1.0,0.0
PP2C,24.614379085,34.4954738518
DOPAMINE,32.0769230769,40.8601952462
APOLLON,29.1098901099,34.9659174714
PHOSPHOLAMBAN,25.7820512821,38.3445635724
EPHRIN,31.7912087912,36.7788851181
SS,34.1923076923,39.6536218046
FIBRINOGEN,26.4285714286,38.6101743344
STEP,31.1282051282,34.3822467109
SSTR1,35.2121212121,42.2340976968
SSTR2,34.6818181818,40.3675264301
KINESIN,32.0384615385,33.8399008404
GLUTAMATE,25.6282051282,35.6980975217
CDC42,34.3181818182,36.3543169876
ITCH,27.6470588235,34.9722579129
CAS,1.0,0.0
EEF1A2,1.0,0.0
EGFR,31.7575757576,37.6515121029
BAX,25.3142857143,36.3778358176
YOTIAO,24.6373626374,36.5432385541
VAMP,1.0,0.0
BAD,24.9338235294,35.1405659459
MITF,1.0,0.0
BAK,24.614379085,34.4954738518
CAD,1.0,0.0
EPS15,1.0,0.0
IBP1,29.858974359,37.2740414587
KV41,25.4725274725,34.2640287859
IBP2,27.4395604396,36.842379765
DOC2,25.4,34.8472221115
PDE1B,31.6373626374,34.2235947538
PDE1A,31.6373626374,34.2235947538
CDK11,1.0,0.0
FIVEHT1AR,35.1212121212,41.8752574927
PP2A,27.4848484848,37.5523876495
ALPHACATENIN,30.9142857143,40.1447000085
P53,29.225,36.3546726326
GRIP,34.2820512821,40.9366041039
GRIT,26.8717948718,41.2711225381
CLATHRIN,30.696969697,37.477265836
CERAMIDE,27.6818181818,39.8401765737
SEC61P,1.0,0.0
RADIXIN,30.2087912088,37.1604548988
SYNAPTOBREVIN,1.0,0.0
L1,28.1538461538,34.2954445195
SYNAPSIN,26.5769230769,39.6817198328
IKBB,28.5367647059,35.7805267394
PKCZETA,26.9707602339,34.1881594549
RSK,28.5916666667,33.5190824589
MLK3,25.4395604396,34.1583503613
D3R,32.5,42.6005858804
N41,26.6952380952,29.766780553
NCK,29.7564102564,35.7743700931
CEK1,29.9120879121,36.4456310642
cADPR,26.1428571429,37.7341996402
EEF2,1.0,0.0
AXIN,32.2435897436,33.7955454001
CAVEOLIN,1.0,0.0
DYRK,31.3186813187,39.3873196187
IP3,26.043956044,36.9847241775
ADENOSINE,34.6153846154,41.3268644131
SIAH,27.1648351648,40.4529092875
EGF,31.6794871795,37.184506182
FIVEHT2AR,35.2575757576,42.3802152499
RAC,34.1060606061,37.3947006455
PABP,1.0,0.0
RAN,1.0,0.0
DREAM,24.8571428571,30.017681864
RAL,31.0989010989,34.3760960019
PAXILLIN,34.0151515152,37.101825488
RAI,1.0,0.0
SURVIVIN,28.819047619,34.5800609057
SEQUESTOSOME,26.2631578947,33.5730072291
CORTACTIN,28.1428571429,36.8242266536
RAS,33.3181818182,42.2331192743
RB,1.0,0.0
FADD,28.989010989,34.7979799455
DYRK1A,1.0,0.0
CAMKPASE,23.7912087912,34.1013109467
CALCIPRESSIN,28.0512820513,37.7648977226
FOSB,28.3676470588,35.7438259529
RASGRF,30.5256410256,41.4966531448
LAMINA,1.0,0.0
INSULIN,31.8791208791,37.8874071599
APS,29.3846153846,37.7671042928
C3G,32.8333333333,41.1275117436
CFOS,28.2720588235,35.6894154477
ELK1,1.5,0.5
RHO,27.1666666667,43.4804031093
APC,30.8285714286,39.9668229758
STAT,1.0,0.0
GALPHAO,1.0,0.0
GALPHAI,25.2476190476,36.7217891165
KSR,29.0641025641,34.9591030905
cAMP,24.5769230769,38.4313963085
TBR1,1.0,0.0
CAPRI,32.9102564103,41.2670840044
GRP94,1.0,0.0
GALPHAZ,25.2476190476,36.7217891165
CALCINEURIN,27.4696969697,38.2765059676
GALPHAQ,26.4505494505,38.3910122618
GALPHAS,25.2,36.4837117696
PKR,1.0,0.0
MADD,1.0,0.0
DAPK,25.5142857143,35.4530445427
cIAP1,29.2179487179,35.9794501533
