PAC1,0,1,28,0,12,0,0,0,0,0,0,0,0,0
SUMO1,0,2,6,0,32,1,0,1,0,0,0,0,0,0
SUMO3,0,0,5,0,24,1,0,1,0,0,0,0,0,0
SUMO2,0,0,5,0,24,1,0,1,0,0,0,0,0,0
PSD93,0,29,30,0,5,1,0,0,0,0,0,0,0,0
ARIP2,0,0,3,0,1,0,0,0,0,0,0,0,0,0
CALRETICULIN,0,22,10,0,7,0,0,0,0,0,0,0,0,0
HIPK2,0,0,4,0,6,0,0,0,0,0,0,0,0,0
GLYT1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SAPAP,0,0,0,0,2,0,0,0,0,0,0,0,0,0
COFILIN,0,28,30,0,14,0,0,0,0,0,0,0,0,0
ANKYRIN,0,13,15,0,18,0,0,0,0,0,0,0,0,0
RYR,0,70,47,0,28,1,0,0,0,2,0,0,0,0
SRP54,0,2,4,0,7,0,0,0,0,0,0,0,0,0
EEF2K,0,38,12,0,3,0,0,0,0,0,0,0,0,0
TAU,0,106,42,0,56,2,0,0,0,0,0,0,0,0
MNK1,0,29,21,0,6,1,0,0,0,0,0,0,0,0
DYNEIN,0,0,6,0,13,0,0,0,0,0,0,0,0,0
POTASSIUM,0,2,19,0,45,0,0,0,0,0,0,0,0,0
GABARAP,0,7,18,0,2,1,0,0,0,0,0,0,0,0
SYNTAXIN,0,65,125,0,55,14,0,0,0,0,0,0,0,0
DMPK,0,10,34,0,6,0,0,0,0,0,0,0,0,0
SV2A,0,21,14,0,4,1,0,0,0,0,0,0,0,0
ADPRIBSYCYCLASE,0,4,3,0,0,0,0,0,0,0,0,0,0,0
PSD95,0,158,233,0,84,7,0,0,0,2,0,0,0,0
TWA1,0,0,4,0,6,0,0,0,0,0,0,0,0,0
IGF1R,0,7,19,0,30,0,0,0,0,0,0,0,0,0
GAIP,0,0,1,0,10,0,0,0,0,0,0,0,0,0
KV43,0,0,2,0,9,0,0,0,0,0,0,0,0,0
